"Zig Zag Conversion"	"Time : O(N) ; Space: O(N)
 
Description:
The string ""PAYPALISHIRING"" is written in a zigzag pattern on a given 
number of rows like this: (you may want to display this pattern in a 
fixed font for better legibility) 
P   A   H   N 
A P L S I I G 
Y   I   R 
And then read line by line: ""PAHNAPLSIIGYIR"" 
Write the code that will take a string and make this conversion given a 
number of rows: 
string convert(string text, int nRows); 
convert(""PAYPALISHIRING"", 3) 
should return ""PAHNAPLSIIGYIR"".
 
{@link https://leetcode.com/problems/zigzag-conversion/ }"	"convert"	"### Java
```java
public class Solution {

    private int[] indices;

    public String convert(String s, int numRows) {
        if (numRows <= 0) {
            return """";
        } else if (numRows == 1) {
            return s;
        }
        // construct indices
        constructIndices(numRows);

        // zigzag converting
        int index = 0;
        List<StringBuilder> strs = new ArrayList<>();
        for (int i = 0; i < numRows; i++) {
            strs.add(new StringBuilder());
        }
        for (int i = 0; i < s.length(); i++) {
            if (index == indices.length) {
                index = 0;
            }
            int j = indices[index];
            strs.get(j).append(s.charAt(i));
            index++;
        }

        // construct result
        StringBuilder str = new StringBuilder();
        for (StringBuilder ss : strs) {
            str.append(ss);
        }
        return str.toString();
    }

    private void constructIndices(int B) {
        indices = new int[B + B - 2];
        int index = 0;
        for (int i = 0; i < B; i++) {
            indices[index++] = i;
        }
        for (int i = 0; i < B - 2; i++) {
            indices[index++] = B - 2 - i;
        }
    }
}
```"	"string[a];int[b];string
""PAYPALISHIRING"";3;""PAHNAPLSIIGYIR""
""ABCD"";2;""ACBD""

"
"Reverse Integer"	"Time : O(); Space : O()
 
Description: 
Reverse digits of an integer. 
Example1: x = 123, return 321
Example2: x = -123, return -321 
Return 0 if the result overflows and does not fit in a 32 bit signed integer
 
 
{@link https://leetcode.com/problems/reverse-integer/ }"	"reverse"	"### Java
```java
public class Solution {
    public int reverse(int x) {
        long result = 0;
        while (x != 0) {
            // adding the last digit from original number
            result = result * 10 + x % 10;
            x /= 10;
        }
        return (result > Integer.MAX_VALUE || result < Integer.MIN_VALUE) ? 0 : (int) result;
    }
}
```"	"int[x];int
1000000003;0
10000;1
2147483647;0
-2147483648;0
-1234567891;-1987654321
"
"Palindrome Number"	"Time : O(N); Space : O(1)
 
Description: 
Determine whether an integer is a palindrome. Do this without extra space.
For this problem, negative numbers are considered not palindrome number.
 
{@link https://leetcode.com/problems/palindrome-number/ }
1. compare head and tail in one number
2. reverse a number; counting digits of number"	"isPalindrome"	"### Java
```java
public class Solution {

    public boolean isPalindrome(int x) {
        if (x < 0) {
            return false;
        }
        int digits = x == 0 ? 1 : 0;
        int num = x;
        // count the digits in x
        while (num != 0) {
            num /= 10;
            digits++;
        }
        
        // construct the reversed second half of the number
        int rev = 0;
        int upper = (digits - 1) / 2;
        for (int i = 0; i <= upper; i++) {
            // add the tailing number from x to reversing number
            rev = rev * 10 + x % 10;
            x /= 10;
        }
        // if odd number, not rev has one more digit for comparing,
        // so we should compare rev / 10 with x; otherwise compare rev with x
        return rev == x || rev / 10 == x;
    }
}
```"	"int[x];bool
-2;false
-101;false
2;true
202;true
2021;false
2147483647;false
21477412;true
0;true
"
"Roman To Integer"	"Time : O(); Space : O()
 
Description: 
Given a roman numeral, convert it to an integer. 
Input is guaranteed to be within the range from 1 to 3999.
 
{@link https://leetcode.com/problems/roman-to-integer/ }"	"romanToInt"	"### Java
```java
public class Solution {
    
    private Map<Character, Integer> map = new HashMap<Character, Integer>() {{
       put('I', 1);
       put('V', 5);
       put('X', 10);
       put('L', 50);
       put('C', 100);
       put('D', 500);
       put('M', 1000);
    }};
    
    public int romanToInt(String s) {
        int i = 0;
        int len = s.length();
        int result = 0;
        while (i < len) {
            int num = map.get(s.charAt(i));
            if (i + 1 < len && num < map.get(s.charAt(i + 1))) {
                result -= num;
            } else {
                result += num;
            }
            i++;
        }
        return result;
    }
}
```"	"string[s];int
""I"";1
""IV"";4
""IX"";9
""CCVII"";207
""MLXVI"";1066
""MCMLIV"";1954
"
"Longest Common Prefix"	"Time : O(N); Space : O(N)
 
Description: 
Write a function to find the longest common prefix string amongst an array of strings.
 
{@link https://leetcode.com/problems/longest-common-prefix/ }"	"longestCommonPrefix"	"### Java
```java
public class Solution {

    public String longestCommonPrefix(String[] strs) {
        if (strs.length == 0) {
            return """";
        }
        // find the shortest string
        int shortest = Integer.MAX_VALUE;
        for (String str : strs) {
            shortest = Math.min(shortest, str.length());
        }
        
        int i = 0;
        while (i < shortest) {
            // check every string whether they have ch at position i
            for (String str : strs) {
                if (str.charAt(i) != strs[0].charAt(i)) {
                    return strs[0].substring(0, i);
                }
            }
            i++;
        }
        return strs[0].substring(0, shortest);
    }
}
```"	"array(string)[strs];string
[""aa"", ""a""];""a""
[""abcdefgh"", ""aefghijk"", ""abcefgh""];""a""
["""", ""aefghijk"", ""abcefgh""];""""
[""bcdefgh"", ""befghijk"", ""bcefgh""];""b""
"
"Remove Nth Node From End Of List"	"Time : O(N); Space: O(1)
 
Description: 
Given a linked list, remove the nth node from the end of list and return 
its head. 
For example, 
Given linked list: 1->2->3->4->5, and n = 2. 
After removing the second node from the end, the linked list 
becomes 1->2->3->5. 
Note: 
Given n will always be valid. Try to do this in one pass.
 
{@link https://leetcode.com/problems/remove-nth-node-from-end-of-list/ }
1. slow-fast two pointers on linked list"	"removeNthFromEnd"	"### Java
```java
class ListNode<T> {
    T data;
    ListNode<T> next;

    public ListNode() { }

    public ListNode(T data, ListNode<T> next) {
        this.data = data;
        this.next = next;
    }
}

public class Solution {

    public ListNode removeNthFromEnd(ListNode head, int n) {
        if (head == null || n <= 0) {
            return null;
        }
        ListNode<Integer> dummyHead = new ListNode();
        dummyHead.data = 0;
        dummyHead.next = head;

        ListNode<Integer> fast = dummyHead;
        ListNode<Integer> slow = dummyHead;

        // let fast point go n steps itself
        for (int i = 0; i < n; i++) {
            assert (fast != null);
            fast = fast.next;
        }

        // fast and slow go together
        // until fast reaches the end of list
        while (fast.next != null) {
            fast = fast.next;
            slow = slow.next;
        }

        // now slow should pointing to the node
        // before which we want to remove
        slow.next = slow.next.next;

        return dummyHead.next;
    }
}
```"	"linked_list(int)[head];int[val];linked_list(int)
[1,1,2,2,3,3,4,4,5];2;[1,2,3,5]
[1,1,2,2,3,3,4,4,5];5;[2,3,4,5]
[1,1,2,2,3,3,4,4,5];1;[1,2,3,4]
[1];1;[]
"
"Valid Parentheses"	"Time : O(N) ; Space O(N)
 
Description: 
Given a string containing just the characters '(', ')', '{', '}', '[' and ']',
determine if the input string is valid. 
The brackets must close in the correct order, ""()"" and ""()[]{}"" are all 
valid but ""(]"" and ""([)]"" are not.
 
 
{@link https://leetcode.com/problems/valid-parentheses/ }"	"isValid"	"### Java
```java
public class Solution {

    /**
     * add a global map to make code to be more extensible and more concise
     */
    private static final Map<Character, Character> parentheseMap = new HashMap<Character, Character>() {
        {
            put('(', ')');
            put('{', '}');
            put('[', ']');
        }
    };

    public boolean isValid(String s) {
        int len = s.length();
        if (len % 2 != 0) {
            // for string of odd-number length, return false immediately
            return false;
        }
        Stack<Character> lefts = new Stack<Character>();
        for (char ch : s.toCharArray()) {
            if (parentheseMap.containsKey(ch)) {
                lefts.push(parentheseMap.get(ch));
            } else {
                // for '}', ']', ')',
                // return false if nothing left in stack or not matching
                if (lefts.isEmpty() || lefts.pop() != ch) {
                    return false;
                }
            }
        }
        return lefts.isEmpty();
    }
}
```"	"string[s];bool
""[]"";true
""[]"";true
""()"";true
"""";true
"")"";false
""([[]])"";true
""([[(]])"";false
""([[]]()[[]])"";true
""([[])"";false
""(]"";false
""([]]"";false
"
"Merge Two Sorted Lists"	"Time : O(M + N); Space: O(1)
 
Description: 
Merge two sorted linked lists and return it as a new list. The new list 
should be made by splicing together the nodes of the first two lists.
 
{@link https://leetcode.com/problems/merge-two-sorted-lists/  }"	"mergeTwoLists"	"### Java
```java
class ListNode<T> {
    T data;
    ListNode<T> next;

    public ListNode() { }

    public ListNode(T data, ListNode<T> next) {
        this.data = data;
        this.next = next;
    }
}

public class Solution {

    public ListNode<Integer> mergeTwoLists(ListNode<Integer> l1, ListNode<Integer> l2) {
        ListNode<Integer> dummyHead = new ListNode<>();
        dummyHead.data = 0;
        ListNode<Integer> node = dummyHead;
        while (l1 != null && l2 != null) {
            if (l1.data <= l2.data) {
                node.next = l1;
                l1 = l1.next;
            } else {
                node.next = l2;
                l2 = l2.next;
            }
            node = node.next;
        }
        // append the remaining list
        node.next = (l1 != null) ? l1 : l2;
        return dummyHead.next;
    }
}
```"	"linked_list(int)[l1];linked_list(int)[l2];linked_list(int)
[1];[2];[1,2]
[1,1,3,2,5];[2,1,4,2,6];[1,2,3,4,5,6]
[1,1,5];[2,1,4,2,6];[1,2,4,5,6]
[1,1,3,2,5];[2,1,4];[1,2,3,4,5]
"
"Remove Duplicates From Sorted Array"	"Time : O(N); Space: O(1)
 
Description: 
Given a sorted array, remove the duplicates in place such that each 
element appear only once and return the new length. 
Do not allocate extra space for another array, you must do this in 
place with constant memory. 
For example, Given input array nums = [1,1,2], 
Your function should return length = 2, with the first two elements of 
nums being 1 and 2 respectively. It doesn't matter what you leave 
beyond the new length.
 
{@link https://leetcode.com/problems/remove-duplicates-from-sorted-array/ }"	"removeDuplicates"	"### Java
```java
public class Solution {

    // similar idea to partition
    public int removeDuplicates(int[] nums) {
        int j = -1; // index of last unique element
        for (int i = 0; i < nums.length; i++) {
            if (i == 0 || nums[i] != nums[i - 1]) {
                nums[++j] = nums[i];
            }
        }
        return j + 1;
    }

    // version2
    public int removeDuplicates2(int[] nums) {
        int j = -1; // index of last unique element
        for (int i = 0; i < nums.length; i++) {
            if (i != 0 && nums[i] == nums[i - 1]) {
                continue;
            }
            nums[++j] = nums[i];
        }
        return j + 1;
    }
}
```"	"array(int)[nums];int
[ 1, 1, 2 ];2
[ 1, 1, 2, 2, 2, 3, 3 ];3
[ 1, 2, 3 ];3
[ 1, 2, 3, 3, 3, 3 ];3
[ 1, 2, 2, 2, 3 ];3
[ ];0
[ 10, 20, 20, 30, 40, 40, 50];5
"
"Remove Element"	"Time : O(N); Space: O(1)
 
Description: 
Given an array and a value, remove all instances of that value in place 
and return the new length. 
The order of elements can be changed. 
It doesn't matter what you leave beyond the new length.
 
{@link https://leetcode.com/problems/remove-element/ }"	"removeElement"	"### Java
```java
public class Solution {

    // send-to-the-right-place
    public int removeElement(int[] nums, int val) {
        int len = nums.length;
        for (int i = 0; i < len; i++) {
            while (nums[i] == val && i < len) {
                nums[i] = nums[--len];
            }
        }
        return len;
    }
}
```"	"array(int)[nums];int[val];int
[1,1,1];1;0
[1, 1, 1, 2, 2, 2];2;3
[1, 1, 2, 3, 3, 3];3;3
[1, 1, 2, 3, 3, 3, 4];4;6
[1, 1, 2, 3, 3, 3, 4];5;7
[];0;0
[4,5];4;1
"
