"Two Sum"	"Time : O(N) ; Space: O(N)
 
Description:
Given an array of integers, find two numbers such that they add up to 
a specific target number. 
The function twoSum should return indices of the two numbers such that 
they add up to the target, where index1 must be less than index2. 
Please note that your returned answers (both index1 and index2) are not 
zero-based. 
You may assume that each input would have exactly one solution. 
Input: numbers={2, 7, 11, 15}, target=9 
Output: index1=1, index2=2
 
{@link https://leetcode.com/problems/two-sum/ }"	"twoSum"	"### Java
```java
public class Solution {

    /**
     * Construct a map to memo expected value and its index. 
     */
    public int[] twoSum(int[] nums, int target) {
        int[] result = new int[2];
        Map<Integer, Integer> indexMap = new HashMap<Integer, Integer>();
        for (int i = 0; i < nums.length; i++) {
            int number = nums[i];
            if (indexMap.containsKey(number)) {
                // found the two numbers we are looking for!
                // ! required result is not zero-based indexed, but 1-based
                result[0] = 1 + indexMap.get(number);
                result[1] = 1 + i;
                break;
            } else {
                // put the number we are expecting into the map
                indexMap.put(target - number, i);
            }
        }
        return result;
    }
}
```"	"array(int)[nums];int[target];array(int)
[2, 7, 11, 13];9;[1, 2]
[13, 7, 11, 2];9;[2, 4]
[13, 11, 7, 2];9;[3, 4]
[13, 11, 7, 2];24;[1, 2]
[13, 11, 7, 2];15;[1, 4]
[4, 7, -4, 2, 2, 2, 3, -5, -3, 9, -4, 9, -7, 7, -1, 9, 9, 4, 1, -4, -2, 3, -3, -5, 4, -7, 7, 9, -4, 4, -8];-3;[6, 8]

"
"Add Two Numbers"	"Time : O(N); Space : O(1)
 
Description: 
You are given two linked lists representing two non-negative numbers. 
The digits are stored in reverse order and each of their nodes contain 
l1 single digit. Add the two numbers and return it as l1 linked list. 
Input: (2 -> 4 -> 3) + (5 -> 6 -> 4) 
Output: 7 -> 0 -> 8
 
Similar to Leetcode[067]
{@link https://leetcode.com/problems/add-two-numbers/ }"	"addTwoNumbers"	"### Java
```java
class ListNode<T> {
    T data;
    ListNode<T> next;

    public ListNode() { }

    public ListNode(T data, ListNode<T> next) {
        this.data = data;
        this.next = next;
    }
}

public class Solution {

    /**
     * Construct a map to memo expected value and its index. 
     */
   public ListNode addTwoNumbers(ListNode<Integer> l1, ListNode<Integer> l2) {
        ListNode<Integer> dummy = new ListNode();
        ListNode<Integer> node = dummy;
        int carry = 0;
        while (l1 != null || l2 != null || carry != 0) {
            int n1 = l1 != null ? l1.data : 0;
            int n2 = l2 != null ? l2.data : 0;
            int sum = n1 + n2 + carry;
            node.next = new ListNode();
            node.next.data = sum % 10;
            node = node.next;
            carry = sum / 10;
            l1 = l1 != null ? l1.next : null;
            l2 = l2 != null ? l2.next : null;
        }
        return dummy.next;
    }
}
```"	"linked_list(int)[nums1];linked_list(int)[nums2];linked_list(int)
[2, 1, 4, 2, 3];[5, 1, 6, 2, 4];[7, 0, 8]
[2];[9, 1, 9, 2, 4];[1, 0, 5]
[2];[8];[0, 1]
[9, 1, 9, 2, 4];[3];[2, 0, 5]
[0];[0, 1, 2];[0, 2]
"
"Longest Substring Without Repeating Characters"	"Time : O(N) ; Space: O(1)
 
Description:
Given a string, find the length of the longest substring without repeating 
characters. For example, the longest substring without repeating letters 
for ""abcabcbb"" is ""abc"", which the length is 3. For ""bbbbb"" the longest 
substring is ""b"", with the length of 1.
 
{@link https://leetcode.com/problems/longest-substring-without-repeating-characters/ }"	"lengthOfLongestSubstring"	"### Java
```java
/**
 * Use two pointers to keep a window. Check repeating character: 1) repeat in
 * map; 2) within current window
 * 
 */
public class Solution {

    public int lengthOfLongestSubstring(String s) {
        int result = 0;
        int start = 0;  // left side of window
        // character, and index in s of its latest appearance
        Map<Character, Integer> posMap = new HashMap<>();
        for (int i = 0; i < s.length(); i++) {
            char ch = s.charAt(i);
            // if repeated in current window
            if (posMap.containsKey(ch) && posMap.get(ch) >= start) {
                // move left side of current window to remove repeated character
                start = posMap.get(ch) + 1;
            } else {
                // window is expanding
                result = Math.max(result, i - start + 1);
            }
            posMap.put(ch, i);
        }
        return result;
    }
}
```"	"string[s];int
"""";0
""abcabcbb"";3
""bbbb"";1
""Wnb9z9dMc7E8v1RTUaZPoDNIAXRlzkqLaa97KMWLzbitaCkRpiE4J4hJWhRcGnC8H6mwasgDfZ76VKdXhvEYmYrZY4Cfmf4HoSlchYWFEb1xllGKyEEmZOLPh1V6RuM7Mxd7xK72aNrWS4MEaUmgEn7L4rW3o14Nq9l2EN4HH6uJWljI8a5irvuODHY7A7ku4PJY2anSWnfJJE1w8p12Ks3oZRxAF3atqGBlzVQ0gltOwYmeynttUmQ4QBDLDrS4zn4VRZLosOITo4JlIqPD6t4NjhHThOjJxpMp9fICkrgJeGiDAwsb8a3I7Txz5BBKV9bEfMsKNhCuY3W0ZHqY0MhBfz1CbYCzwZZdM4p65ppP9s5QJcfjadmMMi26JKz0TVVwvNA8LP5Vi1QsxId4SI19jfcUH97wmZu0pbw1zFtyJ8GAp5yjjQTzFIboC1iRzklnOJzJld9TMaxqvBNBJKIyDjWrdfLOY8FGMOcPhfJ97Dph35zfxYyUf4DIqFi94lm9J0skYqGz9JT0kiAABQZDazZcNi80dSSdveSl6h3dJjHmlK8qHIlDsqFd5FMhlEirax8WA0v3NDPT8vPhwKpxcnVeu14Gcxr3h1wAXXV0y7Xy9qqB2NQ5HQLJ7cyXAckEYHsLCPSy28xcdNJatx1KLWohOQado4WywJbGvsFR17rKmvOPABweXnFD3odrbSMD4Na4nuBBswvMmFRTUOcf7jZi4z5JnJqXz6hitaPnaEtjoSEBq82a52nvqYy7hhldBoxen2et2OMadVEHeTYLL7GLsIhTP6UizHIuzcJMljo4lFgW5AyrfUlIBPAlhwaSiJtTvcbVZynDSM6RO1PqFKWKg2MHIgNhjuzENg2oFCfW7z5KJvEL9qWqKzZNc0o3BMRjS04NCHFvhtsteQoQRgz84XZBHBJRdekCdcVVXu9c01gYRAz7oIAxN3zKZb64EFKssfQ4HW971jv3H7x5E9dAszA0HrKTONyZDGYtHWt4QLhNsIs8mo4AIN7ecFKewyvGECAnaJpDn1MTTS4yTgZnm6N6qnmfjVt6ZU51F9BxH0jVG0kovTGSjTUkmb1mRTLQE5mTlVHcEz3yBOh4WiFFJjKJdi1HBIBaDL4r45HzaBvmYJPlWIomkqKEmQ4rLAbYG7C5rFfpMu8rHvjU7hP0JVvteGtaGn7mqeKsn7CgrJX1tb8t0ldaS3iUy8SEKAo5IZHNKOfEaij3nI4oRVzeVOZsH91pMsA4jRYgEohubPW8ciXwVrFi1qEWjvB8gfalyP60n1fHyjsiLW0T5uY1JzQWHKCbLVh7QFoJFAEV0L516XmzIo556yRH1vhPnceOCjebqgsmO78AQ8Ir2d4pHFFHAGB9lESn3OtJye1Lcyq9D6X93UakA3JKVKEt6JZDLVBMp4msOefkPKSw59Uix9d9kOQm8WCepJTangdNSOKaxblZDNJ5eHvEroYacBhd9UdafEitdF3nfStF7AhkSfQVC61YWWkKTNdx96OoJGTnxuqt4oFZNFtO7aMuN3IJAkw3m3kgZFRGyd3D3wweagNL9XlYtvZwejbjpkDOZz33C0jbEWaMEaUPw6BG49XqyQoUwtriguO0yvWyaJqD4ye3o0E46huKYAsdKAq6MLWMxF6tfyPVaoqOGd0eOBHbAF89XXmDd4AIkoFPXkAOW8hln5nXnIWP6RBbfEkPPbxoToMbV"";27
"
"Longest Palindromic Substring"	"Time : O(N^2); Space : O(1)
 
Description: 
Given a string S, find the longest palindromic substring in S. You may 
assume that the maximum length of S is 1000, and there exists one 
unique longest palindromic substring.
 
{@link https://leetcode.com/problems/longest-palindromic-substring/ }"	"longestPalindrome"	"### Java
```java
public class Solution {

    /**
     * Choose center for a possible palindrome string, then span string towards
     * left and right. At the same time, update global best result.
     */
    public String longestPalindrome(String s) {
        int longest = 0; // length of up-to-now longest palindrome substring
        int left = -1;   // left index of longest P substring
        int right = -1;  // right index of longest P substring
        int upper = 2 * s.length();
        int len = s.length();
        for (int i = 0; i < upper; i++) {
            int l = 0;
            int r = 0;
            if (i % 2 == 0) {
                // use A[i / 2] as center
                l = i / 2 - 1;
                r = i / 2 + 1;
            } else {
                // use gap betwen A[(i-1)/2] and A[(i+1)/2] as center
                l = (i - 1) / 2;
                r = (i + 1) / 2;
            }
            while (l >= 0 && r < len && s.charAt(l) == s.charAt(r)) {
                l--;
                r++;
            }
            // palindrome length
            int length = r - l - 1;
            if (length > longest) {
                // update global max
                longest = length;
                left = l + 1;
                right = r - 1;
            }
        }
        return longest == 0 ? """" : s.substring(left, right + 1);
    }
}
```"	"string[s];string
""abb"";""bb""
""abdbbbbdba"";""abdbbbbdba""
""abdbabbdba"";""abdba""
"
"Container With Most Water"	"Time : O(N) ; Space: O(1)
 
Description:
 
Given n non-negative integers a1, a2, ..., an, where each represents a 
point at coordinate (i, ai). n vertical lines are drawn such that the 
two endpoints of line i is at (i, ai) and (i, 0). Find two lines, which 
together with x-axis forms a container, such that the container contains 
the most water. 
Note: You may not slant the container.
 
{@link https://leetcode.com/problems/container-with-most-water/ }
1. head-tail pointers"	"maxArea"	"### Java
```java
/**
 * <p>
 * 1. Set left bar at the leftmost position and right bar at the rightmost
 * position.
 * <p>
 * 2. Each time, compare the height[left] with height[right] and moves the lower
 * bar towards center position because the lower bar will decides the
 * container's capacity. Only by moving the lower bar may we find a larger
 * container.
 * <p>
 * 
 * <p>
 *                    | 
 *    | -->           | 
 *    |  .....  ....  |
 *   left            right
 */
public class Solution {

    public int maxArea(int[] height) {
        int left = 0;
        int right = height.length - 1;
        int result = 0;
        while (left < right) {
            result = Math.max(Math.min(height[left], height[right]) * (right - left), result);
            if (height[left] < height[right]) {
                left++;
            } else {
                right--;
            }
        }
        return result;
    }
}
```"	"array(int)[height];int
[];0
[ 5 ];0
[ 3, 2 ];2
[ 1, 2, 3, 4, 5 ];6
[ 2, 4, 3, 5, 1 ];8
[ 8, 4, 3, 2, 1 ];6
"
"Integer To Roman"	"Time : O(); Space : O()
 
Description: 
Given an integer, convert it to a roman numeral. 
Input is guaranteed to be within the range from 1 to 3999.
 
{@link https://leetcode.com/problems/integer-to-roman/ }"	"intToRoman"	"### Java
```java
public class Solution {

    public String intToRoman(int num) {
        int[] weights = { 1000, 900, 500, 400, 100, 90, 50, 40, 10, 9, 5, 4, 1 };
        String[] tokens = { ""M"", ""CM"", ""D"", ""CD"", ""C"", ""XC"", ""L"", ""XL"", ""X"",
                ""IX"", ""V"", ""IV"", ""I"" };
        StringBuilder rs = new StringBuilder("""");
        int start = 0;
        while (num > 0) {
            for (int i = start; i < 13; i++) {
                if (num >= weights[i]) {
                    num -= weights[i];
                    rs.append(tokens[i]);
                    break;
                }
                start = i + 1; // skip those impossible check, make it faster
            }
        }
        return rs.toString();
    }
}
```"	"int[num];string
1;""I""
4;""IV""
9;""IX""
207;""CCVII""
1066;""MLXVI""
1954;""MCMLIV""
"
"Sum"	"Time : O(N^2); Space: O(N)
 
Description:
Given an array S of n integers, are there elements a, b, c in S such that 
a + b + c = 0? Find all unique triplets in the array which gives the sum 
of zero. 
Note: 
Elements in a triplet (a,b,c) must be in non-descending order. (ie, a ≤ b ≤ c) 
The solution set must not contain duplicate triplets. 
For example, given array S = {-1 0 1 2 -1 -4}, 
A solution set is: (-1, 0, 1) (-1, -1, 2)
 
{@link https://leetcode.com/problems/3sum/ }"	"threeSum"	"### Java
```java
public class Solution {

    public List<List<Integer>> threeSum(int[] nums) {
        List<List<Integer>> result = new ArrayList<>();
        Arrays.sort(nums);

        int n = nums.length;
        for (int i = 0; i < n; i++) {
            // skip duplicates
            if (i != 0 && nums[i] == nums[i - 1]) {
                continue;
            }
            // number will serve as the 1st number in triplet candidate
            int num = nums[i];
            int left = i + 1;
            int right = n - 1;
            int target = 0 - num;
            // try to find two numbers that sum up to target
            while (left < right) {
                int twoSum = nums[left] + nums[right];
                if (twoSum < target) {
                    left++;
                } else if (twoSum > target) {
                    right--;
                } else {
                    // found one combination
                    result.add(Arrays.asList(num, nums[left], nums[right]));
                    while (left + 1 < right && nums[left] == nums[left + 1]) {
                        left++;
                    }
                    left++;
                    while (right - 1 > left && nums[right] == nums[right - 1]) {
                        right--;
                    }
                    right--;
                }
            }
        }
        return result;
    }
}
```"	"array(int)[nums];list(list(int))
[-1, 0, 1, 2, -1, -4 ];[[-1, -1, 2], [-1, 0, 1]]
[-1, -6, -3, -7, -4, -4, 0, 3, -2, -10, -10, 9 ];[[-2, -1, 3], [-7, -2, 9], [-6, -3, 9], [-3, 0, 3]]
[5, -11, -7, -2, 4, 9, 4, 4, -5, 12, 12, -14, -5, 3, -3, -2, -6, 3, 3, -9, 4, -13, 6, 2, 11, 12, 10, -14, -15, 11, 0, 5, 8, 0, 10, -11, -6, -1, 0, 4, -4, -3, 5, -2, -15, 9, 11, -13, -2, -8, -7, 9, -6, 7, -11, 12, 4, 14, 6, -4, 3, -9, -14, -12, -2, 3, -8, 7, -13, 7, -12, -9, 11, 0, 4, 12, -6, -7, 14, -1, 0, 14, -6, 1, 6, -2, -9, -4, -11, 12, -1, -1, 10, -7, -6, -7, 11, 1, -15, 6, -15, -12, 12, 12, 3, 1, 9, 12, 9, 0, -11, -14, -1 ];[[-15, 1, 14], [-15, 3, 12], [-15, 4, 11], [-15, 5, 10], [-15, 6, 9], [-15, 7, 8], [-14, 0, 14], [-14, 2, 12], [-14, 3, 11], [-14, 4, 10], [-14, 5, 9], [-14, 6, 8], [-14, 7, 7], [-13, -1, 14], [-13, 1, 12], [-13, 2, 11], [-13, 3, 10], [-13, 4, 9], [-13, 5, 8], [-13, 6, 7], [-12, -2, 14], [-12, 0, 12], [-12, 1, 11], [-12, 2, 10], [-12, 3, 9], [-12, 4, 8], [-12, 5, 7], [-12, 6, 6], [-11, -3, 14], [-11, -1, 12], [-11, 0, 11], [-11, 1, 10], [-11, 2, 9], [-11, 3, 8], [-11, 4, 7], [-11, 5, 6], [-9, -5, 14], [-9, -3, 12], [-9, -2, 11], [-9, -1, 10], [-9, 0, 9], [-9, 1, 8], [-9, 2, 7], [-9, 3, 6], [-9, 4, 5], [-8, -6, 14], [-8, -4, 12], [-8, -3, 11], [-8, -2, 10], [-8, -1, 9], [-8, 0, 8], [-8, 1, 7], [-8, 2, 6], [-8, 3, 5], [-8, 4, 4], [-7, -7, 14], [-7, -5, 12], [-7, -4, 11], [-7, -3, 10], [-7, -2, 9], [-7, -1, 8], [-7, 0, 7], [-7, 1, 6], [-7, 2, 5], [-7, 3, 4], [-6, -6, 12], [-6, -5, 11], [-6, -4, 10], [-6, -3, 9], [-6, -2, 8], [-6, -1, 7], [-6, 0, 6], [-6, 1, 5], [-6, 2, 4], [-6, 3, 3], [-5, -5, 10], [-5, -4, 9], [-5, -3, 8], [-5, -2, 7], [-5, -1, 6], [-5, 0, 5], [-5, 1, 4], [-5, 2, 3], [-4, -4, 8], [-4, -3, 7], [-4, -2, 6], [-4, -1, 5], [-4, 0, 4], [-4, 1, 3], [-3, -3, 6], [-3, -2, 5], [-3, -1, 4], [-3, 0, 3], [-3, 1, 2], [-2, -2, 4], [-2, -1, 3], [-2, 0, 2], [-2, 1, 1], [-1, -1, 2], [-1, 0, 1], [0, 0, 0]]
[7, -1, 14, -12, -8, 7, 2, -15, 8, 8, -8, -14, -4, -5, 7, 9, 11, -4, -15, -6, 1, -14, 4, 3, 10, -5, 2, 1, 6, 11, 2, -2, -5, -7, -6, 2, -15, 11, -6, 8, -4, 2, 1, -1, 4, -6, -15, 1, 5, -15, 10, 14, 9, -8, -6, 4, -6, 11, 12, -15, 7, -1, -9, 9, -1, 0, -4, -1, -12, -2, 14, -9, 7, 0, -3, -4, 1, -2, 12, 14, -10, 0, 5, 14, -1, 14, 3, 8, 10, -8, 8, -5, -2, 6, -11, 12, 13, -7, -12, 8, 6, -13, 14, -2, -5, -11, 1, 3, -6 ];[[-15, 1, 14], [-15, 2, 13], [-15, 3, 12], [-15, 4, 11], [-15, 5, 10], [-15, 6, 9], [-15, 7, 8], [-14, 0, 14], [-14, 1, 13], [-14, 2, 12], [-14, 3, 11], [-14, 4, 10], [-14, 5, 9], [-14, 6, 8], [-14, 7, 7], [-13, -1, 14], [-13, 0, 13], [-13, 1, 12], [-13, 2, 11], [-13, 3, 10], [-13, 4, 9], [-13, 5, 8], [-13, 6, 7], [-12, -2, 14], [-12, -1, 13], [-12, 0, 12], [-12, 1, 11], [-12, 2, 10], [-12, 3, 9], [-12, 4, 8], [-12, 5, 7], [-12, 6, 6], [-11, -3, 14], [-11, -2, 13], [-11, -1, 12], [-11, 0, 11], [-11, 1, 10], [-11, 2, 9], [-11, 3, 8], [-11, 4, 7], [-11, 5, 6], [-10, -4, 14], [-10, -3, 13], [-10, -2, 12], [-10, -1, 11], [-10, 0, 10], [-10, 1, 9], [-10, 2, 8], [-10, 3, 7], [-10, 4, 6], [-10, 5, 5], [-9, -5, 14], [-9, -4, 13], [-9, -3, 12], [-9, -2, 11], [-9, -1, 10], [-9, 0, 9], [-9, 1, 8], [-9, 2, 7], [-9, 3, 6], [-9, 4, 5], [-8, -6, 14], [-8, -5, 13], [-8, -4, 12], [-8, -3, 11], [-8, -2, 10], [-8, -1, 9], [-8, 0, 8], [-8, 1, 7], [-8, 2, 6], [-8, 3, 5], [-8, 4, 4], [-7, -7, 14], [-7, -6, 13], [-7, -5, 12], [-7, -4, 11], [-7, -3, 10], [-7, -2, 9], [-7, -1, 8], [-7, 0, 7], [-7, 1, 6], [-7, 2, 5], [-7, 3, 4], [-6, -6, 12], [-6, -5, 11], [-6, -4, 10], [-6, -3, 9], [-6, -2, 8], [-6, -1, 7], [-6, 0, 6], [-6, 1, 5], [-6, 2, 4], [-6, 3, 3], [-5, -5, 10], [-5, -4, 9], [-5, -3, 8], [-5, -2, 7], [-5, -1, 6], [-5, 0, 5], [-5, 1, 4], [-5, 2, 3], [-4, -4, 8], [-4, -3, 7], [-4, -2, 6], [-4, -1, 5], [-4, 0, 4], [-4, 1, 3], [-4, 2, 2], [-3, -2, 5], [-3, -1, 4], [-3, 0, 3], [-3, 1, 2], [-2, -2, 4], [-2, -1, 3], [-2, 0, 2], [-2, 1, 1], [-1, -1, 2], [-1, 0, 1], [0, 0, 0]]
"
"Sum Closest"	"Time : O(N^2); Space: O(N)
 
Description: 
Given an array S of n integers, find three integers in S such that the 
sum is closest to a given number, target. Return the sum of the three 
integers. You may assume that each input would have exactly one solution. 
For example, given array S = {-1 2 1 -4}, and target = 1. 
The sum that is closest to the target is 2. (-1 + 2 + 1 = 2).
 
{@link https://leetcode.com/problems/3sum-closest/ }"	"threeSumClosest"	"### Java
```java
public class Solution {

    public int threeSumClosest(int[] nums, int target) {
        int result = target;
        int len = nums.length;
        if (len < 3) {
            return 0;
        }
        Arrays.sort(nums);
        for (int i = 0; i < len; i++) {
            int number = nums[i];

            int leftIndex = i + 1;
            int rightIndex = len - 1;
            while (leftIndex < rightIndex) {
                int threeSum = number + nums[leftIndex] + nums[rightIndex];
                if (threeSum == target) {
                    // best result found!
                    return target;
                } else {
                    // update global result
                    if (result == target
                            || Math.abs(target - threeSum) < Math.abs(target - result)) {
                        result = threeSum;
                    }
                    if (threeSum < target) {
                        while (leftIndex < rightIndex
                                && nums[leftIndex] == nums[leftIndex + 1]) {
                            leftIndex++;
                        }
                        leftIndex++;
                    } else {
                        while (leftIndex < rightIndex
                                && nums[rightIndex] == nums[rightIndex - 1]) {
                            rightIndex--;
                        }
                        rightIndex--;
                    }
                }
            }
        }
        return result;
    }
}
```"	"array(int)[nums];int[target];int
[-1, 2, 1, -4];1;2
[-1, 2, 1, -4];2;2
[43, 75, -90, 47, -49, 72, 17, -31, -68, -22, -21, -30, 65, 88, -75, 23, 97, -61, 53, 87, -3, 33, 20, 51, -79, 43, 80, -9, 34, -89, -7, 93, 43, 55, -94, 29, -32, -49, 25, 72, -6, 35, 53, 63, 6, -62, -96, -83, -73, 66, -11, 96, -90, -27, 78, -51, 79, 35, -63, 85, -82, -15, 100, -82, 1, -4, -41, -21, 11, 12, 12, 72, -82, -22, 37, 47, -18, 61, 60, 55, 22, -6, 26, -60, -42, -92, 68, 45, -1, -26, 5, -56, -1, 73, 92, -55, -20, -43, -56, -15, 7, 52, 35, -90, 63, 41, -55, -58, 46, -84, -92, 17, -66, -23, 96, -19, -44, 77, 67, -47, -48, 99, 51, -25, 19, 0, -13, -88, -10, -67, 14, 7, 89, -69, -83, 86, -70, -66, -38, -50, 66, 0, -67, -91, -65, 83, 42, 70, -6, 52, -21, -86, -87, -44, 8, 49, -76, 86, -3, 87, -32, 81, -58, 37, -55, 19, -26, 66, -89, -70, -69, 37, 0, 19, -65, 38, 7, 3, 1, -96, 96, -65, -52, 66, 5, -3, -87, -16, -96, 57, -74, 91, 46, -79, 0, -69, 55, 49, -96, 80, 83, 73, 56, 22, 58, -44, -40, -45, 95, 99, -97, -22, -33, -92, -51, 62, 20, 70, 90];284;284
[-3, -2, -5, 3, -4];-1;-2
"
"Letter Combinations Of A Phone Number"	"Time : O(); Space: O()
 
Description: 
Given a digit string, return all possible letter combinations that the 
number could represent. 
A mapping of digit to letters (just like on the telephone buttons) 
is given below.
Input:Digit string ""23"" 
Output: [""ad"", ""ae"", ""af"", ""bd"", ""be"", ""bf"", ""cd"", ""ce"", ""cf""]. 
Note: 
Although the above answer is in lexicographical order, your answer 
could be in any order you want.
 
{@link https://leetcode.com/problems/letter-combinations-of-a-phone-number/ }"	"letterCombinations"	"### Java
```java
public class Solution {

    public static final String[] mapping = { """", """", ""abc"", ""def"", ""ghi"",
            ""jkl"", ""mno"", ""pqrs"", ""tuv"", ""wxyz"" };

    // iterative, BFS version
    public List<String> letterCombinations(String digits) {
        List<String> cur = new ArrayList<String>();
        if (digits.length() == 0) {
            return cur;
        }
        cur.add("""");
        for (int i = 0; i < digits.length(); i++) {
            String strs = mapping[digits.charAt(i) - '0'];
            List<String> next = new ArrayList<>();
            for (int j = 0; j < strs.length(); j++) {
                char ch = strs.charAt(j);
                // try to insert 'ch' to each current combination
                for (String comb : cur) {
                    next.add(comb + ch);
                }
            }
            cur = next;
        }
        return cur;
    }
}
```"	"string[digits];list(string)
""23"";[""ad"",""ae"",""af"",""bd"",""be"",""bf"",""cd"",""ce"",""cf""]
"""";[]
""9"";[""w"",""x"",""y"",""z""]
""234"";[""adg"",""adh"",""adi"",""aeg"",""aeh"",""aei"",""afg"",""afh"",""afi"",""bdg"",""bdh"",""bdi"",""beg"",""beh"",""bei"",""bfg"",""bfh"",""bfi"",""cdg"",""cdh"",""cdi"",""ceg"",""ceh"",""cei"",""cfg"",""cfh"",""cfi""]
"
"Sum"	"Time : O(N^3); Space: O(N^2)
 
Description: 
Given an array S of n integers, are there elements a, b, c, and d in S 
such that a + b + c + d = target? Find all unique quadruplets in the 
array which gives the sum of target. 
Note: 
Elements in a quadruplet (a,b,c,d) must be in non-descending order. 
(ie, a ≤ b ≤ c ≤ d) 
The solution set must not contain duplicate quadruplets. 
For example, given array S = {1 0 -1 0 -2 2}, and target = 0. 
A solution set is: (-1,  0, 0, 1) (-2, -1, 1, 2) (-2,  0, 0, 2)
 
{@link https://leetcode.com/problems/4sum/ }"	"fourSum"	"### Java
```java
public class Solution {

    public List<List<Integer>> fourSum(int[] nums, int target) {
        List<List<Integer>> result = new ArrayList<List<Integer>>();
        int len = nums.length;
        if (len < 4) {
            // not enough numbers
            return result;
        }

        Arrays.sort(nums);

        // for each number that can be the 1st number of quadruplet
        for (int i = 0; i < len - 3; i++) {
            int firstNumber = nums[i];
            // skip to next possible first number
            if (i == 0 || firstNumber != nums[i - 1]) {
                for (int j = i + 1; j < len - 2; j++) {
                    // skip duplicates
                    int secondNumber = nums[j];
                    if (j == i + 1 || secondNumber != nums[j - 1]) {
                        int twoSumTarget = target - firstNumber - secondNumber;
                        int leftIndex = j + 1;
                        int rightIndex = len - 1;
                        while (leftIndex < rightIndex) {
                            int twoSum = nums[leftIndex] + nums[rightIndex];
                            if (twoSum == twoSumTarget) {
                                // found one !
                                result.add(Arrays.asList(firstNumber,
                                        secondNumber, nums[leftIndex],
                                        nums[rightIndex]));
                                // jump duplicates from left to right
                                while (leftIndex < rightIndex
                                        && nums[leftIndex] == nums[leftIndex + 1]) {
                                    leftIndex++;
                                }
                                // skip duplicates from right to left
                                while (leftIndex < rightIndex
                                        && nums[rightIndex] == nums[rightIndex - 1]) {
                                    rightIndex--;
                                }
                                leftIndex++;
                                rightIndex--;
                            } else if (twoSum < twoSumTarget) {
                                leftIndex++;
                            } else {
                                rightIndex--;
                            }
                        }
                    }
                }
            }
        }
        return result;

    }
}
```"	"array(int)[nums];int[target];list(list(int))
[ 1, 0, -1, 0, -2, 2 ];0;[[-2, -1, 1, 2], [-2, 0, 0, 2], [-1, 0, 0, 1]]
[ 1, -2, -5, -4, -3, 3, 3, 5 ];-11;[[-5, -4, -3, 1]]
"
